epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.669,1.16194,2.28056,1.51745,0.00375,1,0.87711,0.53759,0.87567,2.79341,1.34439,0.00024,0.00024,0.00024
2,428.768,1.16528,1.64118,1.45928,0.95286,0.3745,0.84547,0.54522,1.03148,2.68337,1.57921,0.0004901,0.0004901,0.0004901
3,636.554,1.15682,1.56581,1.44184,0.94039,0.58442,0.79847,0.46501,1.26476,2.71176,1.85965,0.000729904,0.000729904,0.000729904
4,854.146,1.17497,1.45885,1.42364,0.66986,0.37037,0.62414,0.29576,1.56077,2.89287,2.04367,0.000959412,0.000959412,0.000959412
5,1060.33,1.17448,1.49898,1.45147,0.71027,0.53704,0.61369,0.31214,1.55655,2.62663,2.17055,0.00117862,0.00117862,0.00117862
6,1269.27,1.31254,1.55889,1.53456,0.52097,0.32236,0.41957,0.20223,1.82081,2.91008,2.67338,0.00138754,0.00138754,0.00138754
7,1490.02,1.25319,1.44985,1.52848,0.46022,0.66316,0.51766,0.22925,1.88516,3.02811,2.68456,0.00158616,0.00158616,0.00158616
8,1694.06,1.42848,1.6219,1.60966,0.52397,0.71348,0.62291,0.22822,1.72484,2.48786,2.40163,0.0017228,0.0017228,0.0017228
9,1904.02,1.33459,1.50646,1.53616,0.59139,0.57407,0.55262,0.21246,1.79159,2.44854,2.48081,0.0016832,0.0016832,0.0016832
10,2108.07,1.33804,1.55609,1.55421,0.53346,0.37037,0.37473,0.14505,1.87801,2.98001,2.52775,0.0016436,0.0016436,0.0016436
11,2311.55,1.3391,1.4417,1.56903,0.40155,0.50952,0.39149,0.16761,2.07593,2.69262,3.32405,0.001604,0.001604,0.001604
12,2515.9,1.43505,1.45671,1.56288,0.73432,0.51852,0.63401,0.27862,1.7702,2.08567,2.29429,0.0015644,0.0015644,0.0015644
13,2722.51,1.33239,1.29667,1.51436,0.60236,0.72942,0.71976,0.30775,1.69229,2.00795,2.11072,0.0015248,0.0015248,0.0015248
14,2932.98,1.26919,1.32512,1.51455,0.75441,0.56894,0.64457,0.28045,1.74341,2.18829,2.25911,0.0014852,0.0014852,0.0014852
15,3136.89,1.26188,1.31802,1.48837,0.64358,0.80259,0.73243,0.3599,1.57782,1.71777,1.9462,0.0014456,0.0014456,0.0014456
16,3342.04,1.21052,1.17399,1.43494,0.74923,0.60867,0.64223,0.27666,1.71933,1.75722,1.98218,0.001406,0.001406,0.001406
17,3542.77,1.28855,1.19448,1.49063,0.70805,0.61111,0.65362,0.3192,1.56196,1.64647,1.82754,0.0013664,0.0013664,0.0013664
18,3748.9,1.25113,1.207,1.44953,0.66526,0.77292,0.74269,0.33977,1.77149,1.55748,2.05654,0.0013268,0.0013268,0.0013268
19,3948.5,1.26575,1.18299,1.51125,0.71556,0.79202,0.79421,0.38091,1.58173,1.6319,1.94607,0.0012872,0.0012872,0.0012872
20,4148.9,1.17606,1.1253,1.43874,0.77709,0.77778,0.80741,0.42193,1.51705,1.38549,1.85861,0.0012476,0.0012476,0.0012476
21,4358.77,1.16852,1.07742,1.40603,0.84845,0.77778,0.82137,0.44376,1.65066,1.45272,2.11638,0.001208,0.001208,0.001208
22,4561.48,1.17282,1.1073,1.42949,0.64652,0.5,0.55377,0.26981,2.07003,2.10036,2.82066,0.0011684,0.0011684,0.0011684
23,4765.6,1.18683,1.10934,1.43573,0.82865,0.66667,0.77448,0.40125,1.67125,1.5429,2.10805,0.0011288,0.0011288,0.0011288
24,4970.57,1.12552,1.04244,1.40226,0.69082,0.83333,0.7993,0.42008,1.58258,1.32621,1.98857,0.0010892,0.0010892,0.0010892
25,5172.17,1.09989,1.01469,1.34661,0.82417,0.61111,0.75189,0.35716,1.79634,1.35208,2.19933,0.0010496,0.0010496,0.0010496
26,5376.12,1.07123,0.95207,1.33456,0.83695,0.66544,0.78792,0.42495,1.55539,1.27118,1.94782,0.00101,0.00101,0.00101
27,5579.51,1.03205,0.86979,1.31651,0.85859,0.78716,0.85802,0.48497,1.4776,1.22014,1.89932,0.0009704,0.0009704,0.0009704
28,5779.49,1.00818,0.87184,1.30939,0.86152,0.83333,0.91124,0.49004,1.50784,1.05056,2.08163,0.0009308,0.0009308,0.0009308
29,5982.29,1.04719,0.89893,1.31971,0.88801,0.7343,0.88511,0.47272,1.40525,1.10512,1.88325,0.0008912,0.0008912,0.0008912
30,6184.38,1.08061,0.95224,1.35313,0.83088,0.81886,0.85088,0.46723,1.44983,1.1269,1.9107,0.0008516,0.0008516,0.0008516
31,6389.22,1.05682,0.92645,1.34183,0.81366,0.72222,0.82058,0.46318,1.46371,1.18347,1.91916,0.000812,0.000812,0.000812
32,6597.82,1.03955,0.92611,1.32906,0.75473,0.7037,0.75381,0.43158,1.53537,1.17687,1.92117,0.0007724,0.0007724,0.0007724
33,6804.87,0.94392,0.83449,1.26219,0.77957,0.74074,0.76507,0.45677,1.36702,1.19771,1.717,0.0007328,0.0007328,0.0007328
34,7007.84,0.95303,0.84967,1.26695,0.83196,0.82527,0.85118,0.50941,1.28413,1.10763,1.6962,0.0006932,0.0006932,0.0006932
35,7211.68,0.90895,0.7611,1.21636,0.79811,0.7963,0.83915,0.45878,1.45332,1.13932,1.91527,0.0006536,0.0006536,0.0006536
36,7411.09,0.92075,0.79277,1.2191,0.87505,0.77817,0.86304,0.46231,1.46562,1.04989,1.87386,0.000614,0.000614,0.000614
37,7609.81,0.91511,0.7976,1.24581,0.88215,0.83175,0.85911,0.49143,1.37361,0.99306,1.78661,0.0005744,0.0005744,0.0005744
38,7814.59,0.86369,0.72978,1.19539,0.7886,0.82902,0.82931,0.46129,1.44366,1.08247,1.84079,0.0005348,0.0005348,0.0005348
39,8014.2,0.86809,0.75231,1.20371,0.80022,0.74179,0.78093,0.43666,1.53897,1.10514,1.99239,0.0004952,0.0004952,0.0004952
40,8213.65,0.86926,0.73983,1.23752,0.84893,0.72856,0.84849,0.51565,1.3513,0.97566,1.82006,0.0004556,0.0004556,0.0004556
